# Raman data in two columns
# Material is single layer graphene on silicon oxide
# Measured by M Craciun, Exeter University
# 'Raman shift / cm$^{-1}', 'Intensity /  a.u.')
3217.13	7434.03
3216.43	7451.75
3215.72	7443.65
3215.02	7534.78
3214.31	7275.06
3213.61	7419.34
3212.9	7287.25
3212.19	7427.94
3211.49	7256.93
3210.78	7808.36
3210.08	7534.66
3209.37	7515.93
3208.66	7638.8
3207.96	7496.18
3207.25	7321.76
3206.54	7455.21
3205.84	7532.03
3205.13	7368.28
3204.42	7466.31
3203.72	7553.7
3203.01	7439.52
3202.3	7406.68
3201.6	7433.95
3200.89	7429.4
3200.18	7753.51
3199.47	7540.44
3198.77	7574.74
3198.06	7432.41
3197.35	7523.23
3196.64	7610.49
3195.93	7319.9
3195.23	7562.51
3194.52	7617.96
3193.81	7786.34
3193.1	7344.14
3192.39	7621.9
3191.68	7451.5
3190.98	7570.43
3190.27	7569.39
3189.56	7554.25
3188.85	7687.22
3188.14	7587.45
3187.43	7713.32
3186.72	7560.7
3186.01	7506.8
3185.3	7604.45
3184.59	7490.66
3183.88	7634.08
3183.17	7583.72
3182.46	7783.43
3181.75	7528.83
3181.04	7503.15
3180.33	7674.63
3179.62	7606.7
3178.91	7640.86
3178.2	7562.4
3177.49	7596.55
3176.78	7482.93
3176.07	7538.19
3175.36	7523.09
3174.65	7609.98
3173.94	7640.59
3173.23	7449.7
3172.52	7659.59
3171.81	7746.41
3171.09	7615.33
3170.38	7709.16
3169.67	7792.42
3168.96	7654.36
3168.25	7530.38
3167.54	7810.3
3166.82	7654.74
3166.11	7751.99
3165.4	7747.43
3164.69	7756.9
3163.97	7580.37
3163.26	7565.29
3162.55	7736.18
3161.84	7700.04
3161.12	7698.99
3160.41	7561.16
3159.7	7479.48
3158.99	7608.18
3158.27	7733.34
3157.56	7550.02
3156.85	7938
3156.13	7677.61
3155.42	7617
3154.7	7934.75
3153.99	7691.98
3153.28	7627.89
3152.56	7935
3151.85	7674.82
3151.14	7789.3
3150.42	7753.23
3149.71	7633.18
3148.99	7520.15
3148.28	7659.08
3147.56	7633.54
3146.85	7691.97
3146.13	7711.9
3145.42	7745.82
3144.7	7702.8
3143.99	7799.64
3143.27	7910.43
3142.56	7668.19
3141.84	7688.11
3141.13	7903.69
3140.41	7853.7
3139.7	7821.19
3138.98	7481.33
3138.26	7784.13
3137.55	7744.66
3136.83	7806.44
3136.12	7732.07
3135.4	7905.53
3134.68	7848.61
3133.97	7714.94
3133.25	7888.33
3132.53	7820.97
3131.82	7840.83
3131.1	7906.02
3130.38	7814.28
3129.67	8036.35
3128.95	7773.8
3128.23	7894.73
3127.51	7705.46
3126.8	7979.68
