# time position
0.000000000000000000e+00 2.680488338368796075e-01
6.012024048096192147e-02 4.289985463162911405e-01
1.202404809619238429e-01 5.250890144009903171e-01
1.803607214428857575e-01 4.032023439985615854e-01
2.404809619238476859e-01 5.205190683550283692e-01
3.006012024048095865e-01 5.484246431915494879e-01
3.607214428857715149e-01 3.552612054243640682e-01
4.208416833667334433e-01 4.739763527524758491e-01
4.809619238476953718e-01 5.095514119582945645e-01
5.410821643286573002e-01 4.452019286675765186e-01
6.012024048096191731e-01 4.400047002529766660e-01
6.613226452905811570e-01 4.600694308831293489e-01
7.214428857715430299e-01 2.843398444275724857e-01
7.815631262525050138e-01 2.290052720696176269e-01
8.416833667334668867e-01 4.007931419684682139e-01
9.018036072144288706e-01 9.697937314673575615e-02
9.619238476953907435e-01 -3.261065145695529743e-02
1.022044088176352616e+00 7.491043074707029459e-02
1.082164328657314600e+00 1.927796182959898297e-02
1.142284569138276584e+00 6.213072600869500028e-02
1.202404809619238346e+00 -2.044218878509638723e-02
1.262525050100200330e+00 3.751423031861501889e-02
1.322645290581162314e+00 -6.923559043630592158e-02
1.382765531062124298e+00 -2.003942807237746038e-01
1.442885771543086060e+00 3.029194647594449230e-03
1.503006012024048044e+00 -2.392065044591231149e-01
1.563126252505010028e+00 -2.765191614196133019e-01
1.623246492985971789e+00 -1.377987863888776587e-01
1.683366733466933773e+00 -3.967638636644034156e-01
1.743486973947895757e+00 -2.358902377725044519e-01
1.803607214428857741e+00 -3.997757300808750802e-01
1.863727454909819503e+00 -2.339110275469763744e-01
1.923847695390781487e+00 -5.459238355976754331e-01
1.983967935871743471e+00 -3.579283584302743182e-01
2.044088176352705233e+00 -5.185099725177984009e-01
2.104208416833667439e+00 -3.535343034862652445e-01
2.164328657314629201e+00 -2.959608221427125763e-01
2.224448897795590963e+00 -3.284977949963413524e-01
2.284569138276553169e+00 -1.614334866518976064e-01
2.344689378757514930e+00 -4.148693414243964650e-01
2.404809619238476692e+00 -2.494529082999747405e-01
2.464929859719438898e+00 -2.299688271793718930e-01
2.525050100200400660e+00 -3.072894880046656008e-01
2.585170340681362422e+00 -2.706180508115794137e-01
2.645290581162324628e+00 -3.118005677053237723e-01
2.705410821643286390e+00 -1.647175714811544012e-01
2.765531062124248596e+00 -2.104098530393082034e-01
2.825651302605210358e+00 -2.586082025144165186e-01
2.885771543086172120e+00 -2.329116582786843193e-01
2.945891783567134325e+00 -1.707633660081155913e-01
3.006012024048096087e+00 -4.164385059098666408e-01
3.066132264529057849e+00 -1.981421068344119130e-01
3.126252505010020055e+00 -1.474905602558162498e-01
3.186372745490981817e+00 -3.945325596033393001e-02
3.246492985971943579e+00 5.711158768858158596e-02
3.306613226452905785e+00 -1.387778173492263956e-01
3.366733466933867547e+00 5.414290423757003867e-02
3.426853707414829309e+00 -7.936824008921658513e-02
3.486973947895791515e+00 2.411285523562516422e-02
3.547094188376753277e+00 -5.917133029880882605e-02
3.607214428857715482e+00 2.397316081508898411e-01
3.667334669338677244e+00 -5.379595334283361618e-02
3.727454909819639006e+00 8.001476145363346781e-02
3.787575150300601212e+00 2.122847402283104257e-01
3.847695390781562974e+00 2.464020882555894298e-01
3.907815631262524736e+00 -5.784698236631766188e-02
3.967935871743486942e+00 1.713838536571335724e-01
4.028056112224448704e+00 1.605479029267971314e-01
4.088176352705410466e+00 2.343678186622438209e-01
4.148296593186372228e+00 2.205335000086640906e-01
4.208416833667334878e+00 2.672746315109303938e-01
4.268537074148296639e+00 1.393794457174869772e-01
4.328657314629258401e+00 1.692116997111212107e-01
4.388777555110220163e+00 2.671126327280853863e-01
4.448897795591181925e+00 1.466304085885928865e-01
4.509018036072143687e+00 2.899136827553338569e-01
4.569138276553106337e+00 1.226879777302534724e-01
4.629258517034068099e+00 -5.607568403718041217e-02
4.689378757515029861e+00 1.065584000136095971e-01
4.749498997995991623e+00 2.431673006634703094e-01
4.809619238476953385e+00 1.754432957491524891e-01
4.869739478957916035e+00 1.550431350300939815e-01
4.929859719438877796e+00 2.897698341908752084e-01
4.989979959919839558e+00 3.100085041315900347e-01
5.050100200400801320e+00 3.848777384950775593e-01
5.110220440881763082e+00 2.501330361786596734e-01
5.170340681362724844e+00 2.272670427703673002e-01
5.230460921843687494e+00 3.978605026303165537e-02
5.290581162324649256e+00 9.264720446246516028e-03
5.350701402805611018e+00 1.552687373862421394e-02
5.410821643286572780e+00 4.346101883235402308e-02
5.470941883767534542e+00 5.622535835498859019e-02
5.531062124248497192e+00 1.421062001810479425e-01
5.591182364729458953e+00 -9.202716934190781350e-02
5.651302605210420715e+00 7.244080012472121910e-02
5.711422845691382477e+00 7.817782622858078512e-02
5.771543086172344239e+00 -7.168628433403381739e-02
5.831663326653306001e+00 2.883447696736284385e-02
5.891783567134268651e+00 1.015336378969450282e-01
5.951903807615230413e+00 -9.285437118851860849e-02
6.012024048096192175e+00 7.105090088446938679e-03
6.072144288577153937e+00 -9.786871836936854308e-02
6.132264529058115698e+00 -1.955940933465739051e-01
6.192384769539078349e+00 -5.082339786825089412e-02
6.252505010020040110e+00 -2.619165950168872437e-02
6.312625250501001872e+00 -2.473544808943747564e-01
6.372745490981963634e+00 -6.396311153071414235e-02
6.432865731462925396e+00 -1.155245269524328849e-01
6.492985971943887158e+00 -1.436069649925578728e-01
6.553106212424849808e+00 -1.301443290254534757e-01
6.613226452905811570e+00 -7.157156066710246289e-04
6.673346693386773332e+00 -7.540699507179432493e-02
6.733466933867735094e+00 -1.473281681642609475e-01
6.793587174348696855e+00 -1.214411231011883197e-02
6.853707414829658617e+00 -1.367102668125185772e-01
6.913827655310621267e+00 -1.844108152072923557e-01
6.973947895791583029e+00 2.228434816981400557e-04
7.034068136272544791e+00 -1.674135323019441124e-01
7.094188376753506553e+00 -9.502011765711818048e-02
7.154308617234468315e+00 8.416058424088217194e-02
7.214428857715430965e+00 -3.377862373258931905e-01
7.274549098196392727e+00 -1.758460175316198526e-01
7.334669338677354489e+00 -1.925217780643785348e-01
7.394789579158316251e+00 2.425617607963032052e-03
7.454909819639278012e+00 -2.581358713429172946e-02
7.515030060120239774e+00 -8.961735480151351851e-02
7.575150300601202424e+00 -1.966498590281742787e-01
7.635270541082164186e+00 3.224203850019149997e-02
